Reference,Whisper_Transcription,Gemini_Transcription,Reference_normalize,Whisper_Transcription_normalize,Gemini_Transcription_normalize,Whisper_Transcription_WER,Gemini_Transcription_WER
MỘT BA NĂM BẢY CHÍN, Một ba năm bảy chín,"1 3 5 7 9
",một ba năm bảy chín,một ba năm bảy chín,một ba năm bảy chín,0,0
RÂU RIA ĐÃ BA NGÀY KHÔNG CẠO, Râu ria đã ba ngày không cạo,"Râu ria đã ba ngày không cạo.
",râu ria đã ba ngày không cạo,râu ria đã ba ngày không cạo,râu ria đã ba ngày không cạo,0,0
ĐỪNG BUỒN VÌ TỰ GIẰN VẶT MÌNH NỮA, Đừng buồn vì tự dằn vặt mình nữa.,Đừng buồn vì tự rằng vặt mình quá.,đừng buồn vì tự giằn vặt mình nữa,đừng buồn vì tự dằn vặt mình nữa,đừng buồn vì tự rằng vặt mình quá,0.125,0.25
CÒN BỘ KHANG HI TỪ ĐIỂN, Còn bộ khang hy từ điển,Còn bộ khăn hi từ điển.,còn bộ khang hi từ điển,còn bộ khang hy từ điển,còn bộ khăn hi từ điển,0.1667,0.1667
LÍNH CỨU HỎA KHÓ TIẾP CẬN HIỆN TRƯỜNG, Lính cứu hỏa khó tiếp cận hiện trường.,"Lính cứu hỏa khó tiếp cận hiện trường.
",lính cứu hỏa khó tiếp cận hiện trường,lính cứu hỏa khó tiếp cận hiện trường,lính cứu hỏa khó tiếp cận hiện trường,0,0
HAI MƯƠI SÁU HAI MƯƠI BẢY," 26, 27","26, 27.",hai mươi sáu hai mươi bảy,hai mươi sáu hai mươi bảy,hai mươi sáu hai mươi bảy,0,0
CHẲNG LÀ MẤY HÔM NAY TÔI ĐAU BỤNG QUÁ, Chẳng là mấy hôm nay tôi đau bụng quá,chẳng là mấy hôm nay tôi đau bụng quá.,chẳng là mấy hôm nay tôi đau bụng quá,chẳng là mấy hôm nay tôi đau bụng quá,chẳng là mấy hôm nay tôi đau bụng quá,0,0
VÀ HÍT VÀO MŨI LÀM CHẤT NÀY LOÃNG RA, và hít vào mũi làm chất này loạn ra.,"Và hít vào mũi làm chất này loãng ra.
",và hít vào mũi làm chất này loãng ra,và hít vào mũi làm chất này loạn ra,và hít vào mũi làm chất này loãng ra,0.1111,0
Ở LỚP NẤU ĂN GIA ĐÌNH, ở lớp nấu ăn gia đình.,Ở lớp nấu ăn gia đình.,ở lớp nấu ăn gia đình,ở lớp nấu ăn gia đình,ở lớp nấu ăn gia đình,0,0
VÌ NÓ KHÔNG NHẮC ĐẾN NHỮNG CUỘC TẤN CÔNG NHẮM VÀO NGƯỜI DO THÁI, Vì nó không nhắc đến những cuộc tấn công nhắm vào người Do Thái.,Vì nó không nhắc đến những cuộc tấn công nhắm vào người Do Thái.,vì nó không nhắc đến những cuộc tấn công nhắm vào người do thái,vì nó không nhắc đến những cuộc tấn công nhắm vào người do thái,vì nó không nhắc đến những cuộc tấn công nhắm vào người do thái,0,0
SAO KẾT QUẢ RA TỆ VẬY, Sao kết quả ra tệ vậy?,Sao kết quả ra tệ vậy?,sao kết quả ra tệ vậy,sao kết quả ra tệ vậy?,sao kết quả ra tệ vậy?,0.1667,0.1667
PHẢI ĐƯỢC THỰC HIỆN TRÊN CƠ SỞ, phải được thực hiện trên cơ sở,"phải được thực hiện trên cơ sở.
",phải được thực hiện trên cơ sở,phải được thực hiện trên cơ sở,phải được thực hiện trên cơ sở,0,0
PHẢI CHĂNG XÂY DỰNG NIỀM TIN VÀO TÌNH YÊU KHÓ THẾ, Phải chăng xây dựng niềm tin vào tình yêu khó thế?,Phải chăng xây dựng niềm tin vào tình yêu khó thế?,phải chăng xây dựng niềm tin vào tình yêu khó thế,phải chăng xây dựng niềm tin vào tình yêu khó thế?,phải chăng xây dựng niềm tin vào tình yêu khó thế?,0.0909,0.0909
TÔI CHỈ MUỐN XEM NHỮNG ĐOẠN HAY MÀ THÔI, Tôi chỉ muốn xem những đoạn hay mà thôi.,Tôi chỉ muốn xem những đoạn hay mà thôi.,tôi chỉ muốn xem những đoạn hay mà thôi,tôi chỉ muốn xem những đoạn hay mà thôi,tôi chỉ muốn xem những đoạn hay mà thôi,0,0
THẬM CHÍ CÀNG GIỐNG ÁO QUÍ NÀNG CÀNG MỐT, Hậm chí càng giống áo quý nàng càng mót,Thậm chí càng giống áo quý nàng càng mót.,thậm chí càng giống áo quí nàng càng mốt,hậm chí càng giống áo quý nàng càng mót,thậm chí càng giống áo quý nàng càng mót,0.3333,0.2222
NHƯNG CÔ QUYẾT CHỨNG MINH NGƯỜI MÙ KHÔNG PHẢI VÔ DỤNG, Nhưng cô quyết chứng minh người mù không phải vô dụng,Nhưng cô quyết chứng minh người mù không phải vô dụng.,nhưng cô quyết chứng minh người mù không phải vô dụng,nhưng cô quyết chứng minh người mù không phải vô dụng,nhưng cô quyết chứng minh người mù không phải vô dụng,0,0
XEN KẼ GIỮA NHỮNG MÀN BIỂU DIỄN LÀ NHỮNG PHÚT VUI CHƠI TẬP THỂ, Xen kể giữa những màn biểu diễn là những phút vui chơi tập thể.,Xen kẽ giữa những màn biểu diễn là những phút vui chơi tập thể.,xen kẽ giữa những màn biểu diễn là những phút vui chơi tập thể,xen kể giữa những màn biểu diễn là những phút vui chơi tập thể,xen kẽ giữa những màn biểu diễn là những phút vui chơi tập thể,0.0714,0
THỰC TẾ VAI TRÒ CỦA BẠN VÀ NGƯỜI PHỎNG VẤN ĐỐI CHIẾU NHAU, Thực tế vai trò của bạn và người phỏng vấn đối chiếu nhau.,Thực tế vai trò của bạn và người phỏng vấn đối chiếu nhau.,thực tế vai trò của bạn và người phỏng vấn đối chiếu nhau,thực tế vai trò của bạn và người phỏng vấn đối chiếu nhau,thực tế vai trò của bạn và người phỏng vấn đối chiếu nhau,0,0
HÔM NÀO TAN CA SỚM HẠNH ĐƯỢC GIAO NHIỆM VỤ ĐI CHỢ CHO BỮA TỐI," Hôm nào tan ca sớm, Hạnh được giao nhiệm vụ đi chợ cho buổi tối.","Hôm nào tan ca sớm, Hạnh được giao nhiệm vụ đi chợ cho buổi tối.
",hôm nào tan ca sớm hạnh được giao nhiệm vụ đi chợ cho bữa tối,hôm nào tan ca sớm hạnh được giao nhiệm vụ đi chợ cho buổi tối,hôm nào tan ca sớm hạnh được giao nhiệm vụ đi chợ cho buổi tối,0.0667,0.0667
TỪNG LÀ CHỦ TẾ HÀNG TRĂM LỄ AN TÁNG MỘ GIÓ, Từng là chủ tế hàng trăm lễ an tán mùi gió,từng là chủ tế hàng trăm lễ an táng mồ gió.,từng là chủ tế hàng trăm lễ an táng mộ gió,từng là chủ tế hàng trăm lễ an tán mùi gió,từng là chủ tế hàng trăm lễ an táng mồ gió,0.1818,0.0909
SÁNG RA THẤY DÂN TÌNH XÚM QUANH CON TÊ GIÁC KHỔNG LỒ ĐÃ CHẾT, Sáng ra thấy dân tình xung quanh con tê giác khổng lồ đã chết,Sáng ra thấy dân tình xúm quanh con tê giác khổng lồ đã chết.,sáng ra thấy dân tình xúm quanh con tê giác khổng lồ đã chết,sáng ra thấy dân tình xung quanh con tê giác khổng lồ đã chết,sáng ra thấy dân tình xúm quanh con tê giác khổng lồ đã chết,0.0714,0
TÔI KHẼ CHỚP MẮT VÀ THẦM CẦU NGUYỆN XIN CHÚA GIÚP CON, Tôi khẽ chấp mắt và thầm cầu nguyện xin chú giúp con,Tôi khẽ chớp mắt và thầm cầu nguyện xin Chúa giúp con.,tôi khẽ chớp mắt và thầm cầu nguyện xin chúa giúp con,tôi khẽ chấp mắt và thầm cầu nguyện xin chú giúp con,tôi khẽ chớp mắt và thầm cầu nguyện xin chúa giúp con,0.1667,0
HỌ ĐÃ TRAO NHAU LỜI HẸN ƯỚC NÊN DUYÊN CHỒNG VỢ, Họ đã trao nhau lời hẹn ước nên duyên chồng vợ.,Họ đã trao nhau lời hẹn ước nên duyên chồng vợ.,họ đã trao nhau lời hẹn ước nên duyên chồng vợ,họ đã trao nhau lời hẹn ước nên duyên chồng vợ,họ đã trao nhau lời hẹn ước nên duyên chồng vợ,0,0
LÚC HƯNG PHẤN NÓI CHUYỆN PHÓNG LAO CHẲNG CÓ CHI PHỨC TẠP, Lúc hưng phóng nói chuyện phóng lao chẳng có chi phức tạp,Lúc hưng phấn nói chuyện phóng lao chẳng có chi phức tạp.,lúc hưng phấn nói chuyện phóng lao chẳng có chi phức tạp,lúc hưng phóng nói chuyện phóng lao chẳng có chi phức tạp,lúc hưng phấn nói chuyện phóng lao chẳng có chi phức tạp,0.0833,0
VÀ MỘT ĐIỀU SÂU XA LÀ MÌNH ĐÃ THẬT SỰ YÊU BẠN, Và một điều sâu xa là mình đã thực sự yêu bạn.,Và một điều sâu xa là mình đã thực sự yêu bạn.,và một điều sâu xa là mình đã thật sự yêu bạn,và một điều sâu xa là mình đã thực sự yêu bạn,và một điều sâu xa là mình đã thực sự yêu bạn,0.0833,0.0833
ĐỘI NÀO THÀNH TÍCH CÀNG CAO THÌ QUẢN LÝ CÀNG KHÓ, Đội nào thành tích càng cao thì quản lý càng khó,Đội nào thành tích càng cao thì quản lý càng khó.,đội nào thành tích càng cao thì quản lý càng khó,đội nào thành tích càng cao thì quản lý càng khó,đội nào thành tích càng cao thì quản lý càng khó,0,0
TRUNG QUỐC ĐƯA RA HÌNH PHẠT CỤ THỂ ĐỐI VỚI TỘI THAM NHŨNG, Trung Quốc đưa ra hình phạt cụ thể đối với tội tham nhũng.,Trung Quốc đưa ra hình phạt cụ thể đối với tội tham nhũng.,trung quốc đưa ra hình phạt cụ thể đối với tội tham nhũng,trung quốc đưa ra hình phạt cụ thể đối với tội tham nhũng,trung quốc đưa ra hình phạt cụ thể đối với tội tham nhũng,0,0
CHÚNG TÔI ĐÃ ĐIỀU TRA NHỮNG TRƯỜNG HỢP CÓ NGHI VẤN GIAN DỐI, Chúng tôi đã điều tra những trường hợp có nghi vấn gian dối.,Chúng tôi đã điều tra những trường hợp có nghi vấn gian dối.,chúng tôi đã điều tra những trường hợp có nghi vấn gian dối,chúng tôi đã điều tra những trường hợp có nghi vấn gian dối,chúng tôi đã điều tra những trường hợp có nghi vấn gian dối,0,0
VÀO ĐƯỢC NHÀ ANH ĐẤY SỬA CỬA ĐI NGUY HIỂM ĐẤY," Vào được nhà anh đấy, sự cử đi nguy hiểm đấy","Vào được nhà anh đấy, dự cửa đi nguy hiểm đấy.",vào được nhà anh đấy sửa cửa đi nguy hiểm đấy,vào được nhà anh đấy sự cử đi nguy hiểm đấy,vào được nhà anh đấy dự cửa đi nguy hiểm đấy,0.1818,0.0909
NHỮNG NGƯỜI CÔ LẬP MÌNH CÓ THỂ GẶP PHẢI CHỨNG TRẦM CẢM HOẶC LO LẮNG, Những người cô lập mình có thể gặp phải chứng trầm cảm hoặc lo lắng,Những người cô lập mình có thể gặp phải chứng trầm cảm hoặc lo lắng.,những người cô lập mình có thể gặp phải chứng trầm cảm hoặc lo lắng,những người cô lập mình có thể gặp phải chứng trầm cảm hoặc lo lắng,những người cô lập mình có thể gặp phải chứng trầm cảm hoặc lo lắng,0,0
SẼ LÀM CHÚNG TA NGỦ KHÔNG ĐỦ KHÔNG ĐÚNG QUY LUẬT," sẽ làm chúng ta ngủ không đủ, không đúng quy luật.",sẽ làm chúng ta ngủ không đủ không đúng quy luật.,sẽ làm chúng ta ngủ không đủ không đúng quy luật,sẽ làm chúng ta ngủ không đủ không đúng quy luật,sẽ làm chúng ta ngủ không đủ không đúng quy luật,0,0
VẬY NHỮNG ĐỐI TƯỢNG NÀY SẼ ĐƯỢC GIẢI QUYẾT NHƯ THẾ NÀO, Và những đối tượng này sẽ được giải quyết như thế nào?,Vậy những đối tượng này sẽ được giải quyết như thế nào?,vậy những đối tượng này sẽ được giải quyết như thế nào,và những đối tượng này sẽ được giải quyết như thế nào?,vậy những đối tượng này sẽ được giải quyết như thế nào?,0.1667,0.0833
CÙNG VỢ ĂN VỘI CHÉN CƠM THÀNH LẠI LO ÔN BÀI LÀM BÀI TẬP, Cùng vợ ăn vội chén cơm thành loại lo ôm làm bài tập,Cùng vợ ăn vội chén cơm thành lại lo ôm bày làm bài tập.,cùng vợ ăn vội chén cơm thành lại lo ôn bài làm bài tập,cùng vợ ăn vội chén cơm thành loại lo ôm làm bài tập,cùng vợ ăn vội chén cơm thành lại lo ôm bày làm bài tập,0.2143,0.1429
ĐẦU TƯ TIÊU DÙNG VÀ XUẤT KHẨU ĐỀU SẼ TĂNG MẠNH, Đầu tư tiêu dùng và xuất khẩu đều sẽ tăng mạnh.,"đầu tư tiêu dùng và xuất khẩu đều sẽ tăng mạnh.
",đầu tư tiêu dùng và xuất khẩu đều sẽ tăng mạnh,đầu tư tiêu dùng và xuất khẩu đều sẽ tăng mạnh,đầu tư tiêu dùng và xuất khẩu đều sẽ tăng mạnh,0,0
PHÍA DƯỚI VÀ XUNG QUANH KỆ LÀ NƯỚC BẨN LÊNH LÁNG CHẢY QUA, Phía dưới và xung quanh kệ là nước bẩn lên láng chảy qua,"Phía dưới và xung quanh kệ là nước bẩn lên láng chảy qua. 12 giờ.
",phía dưới và xung quanh kệ là nước bẩn lênh láng chảy qua,phía dưới và xung quanh kệ là nước bẩn lên láng chảy qua,phía dưới và xung quanh kệ là nước bẩn lên láng chảy qua mười hai giờ,0.0769,0.3077
SỰ GIÚP ĐỠ CỦA BÀ LÀ VÔ CÙNG QUÍ BÁU CHO CHÚNG TÔI, Sự giúp đỡ của bà là vô cùng quý báo cho chúng tôi.,Sự giúp đỡ của bà là vô cùng quý báu cho chúng tôi.,sự giúp đỡ của bà là vô cùng quí báu cho chúng tôi,sự giúp đỡ của bà là vô cùng quý báo cho chúng tôi,sự giúp đỡ của bà là vô cùng quý báu cho chúng tôi,0.1538,0.0769
CÒN BA CẦU THỦ VĂN TRƯƠNG BẬT HIẾU VÀ HẢI LÂM THÌ SAO THƯA ÔNG, Còn 3 cầu thủ Văn Thương Bậc Hiếu và Hải Lâm thì sao thưa ông?,"Còn ba cầu thủ Văn Thương, Bậc Hiếu và Hải Lâm thì sao thưa ông?",còn ba cầu thủ văn trương bật hiếu và hải lâm thì sao thưa ông,còn ba cầu thủ văn thương bậc hiếu và hải lâm thì sao thưa ông?,còn ba cầu thủ văn thương bậc hiếu và hải lâm thì sao thưa ông?,0.2,0.2
ĐỒ CỔ KHÔNG CÔNG KHAI NGUỒN GỐC PHẢI BỊ COI LÀ HÀNG GIẢ, Đồ cổ không công khai nguồn gốc phải bị coi là hàng giả.,Đồ cổ không công khai nguồn gốc phải bị coi là hàng giả.,đồ cổ không công khai nguồn gốc phải bị coi là hàng giả,đồ cổ không công khai nguồn gốc phải bị coi là hàng giả,đồ cổ không công khai nguồn gốc phải bị coi là hàng giả,0,0
NHÀ TRƯỜNG ĐỘT NGỘT HỦY ĐỀ TÀI KHIẾN TÔI MẤT PHƯƠNG HƯỚNG," Nhà trường độc ngột, hủy đề, tài khiến tôi mắc phương hướng.",Nhà trường đột ngột hủy đề tài khiến tôi mất phương hướng.,nhà trường đột ngột hủy đề tài khiến tôi mất phương hướng,nhà trường độc ngột hủy đề tài khiến tôi mắc phương hướng,nhà trường đột ngột hủy đề tài khiến tôi mất phương hướng,0.1667,0
BÊN CẠNH ĐÓ CHÚNG TÔI CÒN LÀM HÀNG LOẠT VIỆC KHÁC NHƯ, Bên cạnh đó chúng tôi còn làm hàng loạt việc khác như,Bên cạnh đó chúng tôi còn làm hàng loạt việc khác như.,bên cạnh đó chúng tôi còn làm hàng loạt việc khác như,bên cạnh đó chúng tôi còn làm hàng loạt việc khác như,bên cạnh đó chúng tôi còn làm hàng loạt việc khác như,0,0
NHIỀU HÔM MƯA GIÓ BÁN Ế GÁNH CHÈ NẶNG TRĨU TRÊN VAI MẸ," Nhiều hơn mưa gió bán ế gánh chèn, nặng trữ trên vai mẹ.",Nhiều hơn mưa gió bán ế gánh chèn nặng trĩu trên vai mẹ.,nhiều hôm mưa gió bán ế gánh chè nặng trĩu trên vai mẹ,nhiều hơn mưa gió bán ế gánh chèn nặng trữ trên vai mẹ,nhiều hơn mưa gió bán ế gánh chèn nặng trĩu trên vai mẹ,0.2308,0.1538
TẤT CẢ ĐỂ CHO NGƯỜI BỆNH VÀ THÂN NHÂN HÀI LÒNG KHI ĐẾN BỆNH VIỆN, Tất cả để cho người bệnh và thân nhân hài lòng khi đến bệnh viện,Tất cả để cho người bệnh và thân nhân hài lòng khi đến bệnh viện.,tất cả để cho người bệnh và thân nhân hài lòng khi đến bệnh viện,tất cả để cho người bệnh và thân nhân hài lòng khi đến bệnh viện,tất cả để cho người bệnh và thân nhân hài lòng khi đến bệnh viện,0,0
HAI CHÁU NGẠC NHIÊN ĐÓN KHÁCH LẠ SUNG SƯỚNG ÔM CẶP MỚI, Hai cháu ngạc nhiên đón khách lạ sung sướng ôm cặp mới,"hai cháu ngạc nhiên đón khách lạ, sung sướng ôm cặp mới.",hai cháu ngạc nhiên đón khách lạ sung sướng ôm cặp mới,hai cháu ngạc nhiên đón khách lạ sung sướng ôm cặp mới,hai cháu ngạc nhiên đón khách lạ sung sướng ôm cặp mới,0,0
HÌNH NHƯ KHÔNG CÓ CẢ MỘT TRONG HAI TÀI VÀ ĐỨC, Hình như không có cả một trong hai tài và đức,Hình như không có cả một trong hai tài và đức.,hình như không có cả một trong hai tài và đức,hình như không có cả một trong hai tài và đức,hình như không có cả một trong hai tài và đức,0,0
